Name,Amount,
0702755 B.C. LTD.,"61,158",
0707249 B.C. LTD.,"116,833",
0731010 B.C. LTD.,"38,334",
0734121 B.C. LTD.,"610,568",
0735677 B.C. LTD.,"91,137",
0745248 B.C. LTD.,"98,963",
0751380 B.C. LTD.,"77,515",
0753296 B.C. LTD.,"108,465",
0765777 B.C. LTD.,"719,650",
0765891 B.C. LTD.,"57,462",
0769276 B.C. LTD.,"159,311",
0770506 B.C. LTD.,"234,477",
0778604 B.C. LTD.,"56,900",
0785350 B.C. LTD.,"235,782",
0787308 B.C. LTD.,"92,752",
0790812 B.C. LTD.,"230,265",
0791082 B.C. LTD.,"83,966",
0798001 B.C. LTD.,"36,604",
0802214 B.C. LTD.,"147,978",
0805653 B.C. LTD.,"149,611",
0808240 B.C. LTD.,"62,410",
0812652 B.C. LTD.,"1,992,161",
0826953 B.C. LTD.,"121,075",
0832958 B.C. LTD.,"107,192",
0838258 B.C. LTD.,"59,480",
0864449 B.C. LTD.,"27,282",
0884865 B.C. LTD.,"210,651",
0888879 B.C. LTD.,"300,428",
0890101 B.C. LTD.,"133,252",
0899919 B.C. LTD.,"286,994",
0911217 B.C. LTD.,"87,738",
0912895 B.C. LTD.,"65,157",
0925621 B.C. LTD.,"30,462",
0926064 B.C. LTD.,"36,888",
0928541 B.C. LTD.,"120,960",
0938541 B.C. LTD.,"97,959",
0953441 B.C. LTD.,"193,947",
0983997 B.C. LTD.,"474,624",
0988936 B.C. LTD.,"122,432",
0994943 B.C. LTD.,"166,823",
0996501 B.C. LTD. & WILLINGDON DEVELOPMENTS (AQ/MIB/TWN) LIMITED PARTNERSHIP,"2,007,154",
0997218 B.C. LTD.,"374,333",
100 MILE FUNERAL SERVICE LTD.,"31,018",
1009030 B.C. LTD.,"33,825",
101079362 SASKATCHEWAN LTD.,"60,137",
1013830 B.C. LTD.,"94,330",
1025411 B.C. LTD.,"759,552",
1028074 B.C. LTD.,"727,475",
1047070 B.C. LTD.,"170,962",
1048216 B.C. LTD.,"340,852",
1048508 B.C. LTD.,"1,144,099",
1052066 B.C. LTD.,"36,977",
1054575 B.C. LTD.,"128,501",
1057240 B.C. LTD.,"284,067",
1060363 B.C. LTD.,"82,825",
1072638 B.C. LTD.,"54,312",
1073171 B.C. LTD.,"73,624",
1075508 B.C. LTD.,"80,970",
1078132 B.C. LTD.,"61,061",
1085625 B.C. LTD.,"37,161",
1180 IRONWOOD CO. LTD.,"287,628",
11996 HOLDINGS INC.,"145,473",
1325211 ALBERTA ULC,"76,335",
141187 VENTURES LTD.,"9,789,055",
1500 HARDY STREET LP,"130,486",
1634459 ALBERTA LTD.,"568,937",
1675 DOUGLAS (BC) PROPERTIES INC.,"1,152,749",
1741048 ALBERTA LTD.,"76,731",
1803 DOUGLAS HOLDINGS LTD.,"452,145",
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & GUINNESS TOWER HOLDINGS LTD.,"170,291",
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & OCEANIC PLAZA HOLDINGS LTD.,"1,563,931",
210 WEST BROADWAY PROPERTIES,"232,970",
221 WEST ESPLANADE CO. LTD.,"236,029",
283110 B.C. LTD.,"139,968",
2CG INC.,"35,700",
303627 B.C. LTD.,"1,478,695",
3070 KINGSWAY INC.,"56,818",
3244601 CANADA INC.,"110,421",
341234 B.C. LTD.,"252,892",
341567 B.C. LTD.,"225,638",
354875 B.C. LTD.,"327,070",
357689 B.C. LTD.,"2,555,610",
360 SURVEILLANCE INC.,"121,327",
