Name,Amount
0690528 B.C. LTD.,"36,119"
0707249 B.C. LTD.,"109,215"
0708696 B.C. LTD.,"145,511"
0731010 B.C. LTD.,"40,873"
0734121 B.C. LTD.,"898,314"
0745245 B.C. LTD.,"148,184"
0745248 B.C. LTD.,"98,521"
0759467 B.C. LTD.,"51,375"
0763325 B.C. LTD.,"167,935"
0765777 B.C. LTD.,"710,964"
0769276 B.C. LTD.,"80,422"
0770506 B.C. LTD.,"205,147"
0772892 B.C. LTD.,"118,991"
0774660 B.C. LTD.,"54,100"
0785350 B.C. LTD.,"1,460,298"
0787308 B.C. LTD.,"100,197"
0790812 B.C. LTD.,"220,121"
0798001 B.C. LTD.,"62,752"
0802214 B.C. LTD.,"72,675"
0805653 B.C. LTD.,"95,168"
0808240 B.C. LTD.,"62,514"
0812652 B.C. LTD.,"1,670,065"
0822796 B.C. LTD.,"43,029"
0826953 B.C. LTD.,"123,408"
0826982 BC LTD.,"25,046"
0832958 B.C. LTD.,"107,663"
0838258 B.C. LTD.,"67,856"
0860344 B.C. LTD.,"265,121"
0864449 B.C. LTD.,"741,308"
0865482 B.C. LTD.,"1,115,522"
0888879 B.C. LTD.,"390,894"
0890101 B.C. LTD.,"135,185"
0893132 B.C. LTD.,"98,060"
0899919 B.C. LTD.,"285,629"
0911217 B.C. LTD.,"85,377"
0912895 B.C. LTD.,"40,057"
0913605 B.C. LTD.,"366,003"
0918314 B.C. LTD.,"33,028"
0925621 B.C. LTD.,"31,005"
0928541 B.C. LTD.,"121,573"
0929528 B.C. LTD.,"90,210"
0936906 B.C. LTD.,"323,917"
0937197 B.C. LTD.,"50,335"
0938061 B.C. LTD.,"36,968"
0938541 B.C. LTD.,"109,859"
0944099 B.C. LTD.,"163,921"
0953441 B.C. LTD.,"190,139"
0975183 B.C. LTD.,"406,164"
0983997 B.C. LTD.,"511,320"
0988936 B.C. LTD.,"97,554"
0992005 B.C. LTD.,"80,361"
0992760 B.C. LTD.,"73,590"
0996501 B.C. LTD. & WILLINGDON DEVELOPMENTS (AQ/MIB/TWN) LIMITED PARTNERSHIP,"2,088,439"
0997218 B.C. LTD.,"434,003"
1007474 B.C. LTD.,"198,149"
1009030 B.C. LTD.,"28,988"
101079362 SASKATCHEWAN LTD.,"60,196"
1025411 B.C. LTD.,"759,552"
1028074 B.C. LTD.,"734,847"
10307 HOLDINGS LTD. & ANDELI VENTURES LTD.,"33,886"
1034 TOKYO RESOURCES INC.,"47,686"
1035624 B.C. LTD.,"373,084"
1047070 B.C. LTD.,"170,673"
1048216 B.C. LTD.,"56,975"
1048508 B.C. LTD.,"1,584,121"
1049546 B.C. LTD.,"60,128"
1049564 B.C. LTD.,"51,627"
1054575 B.C. LTD.,"332,448"
1057240 B.C. LTD.,"286,776"
1057467 B.C. LTD.,"523,469"
1060363 B.C. LTD.,"64,252"
1072638 B.C. LTD.,"72,485"
1075508 B.C. LTD.,"114,774"
1078132 B.C. LTD.,"101,619"
108 BUILDING SUPPLY LTD.,"30,152"
1085625 B.C. LTD.,"74,322"
1087029 B.C. LTD.,"137,174"
1099538 B.C. LTD.,"38,217"
1118109 B.C. LTD.,"476,499"
1123314 B.C. LTD.,"36,072"
1131827 B.C. LTD.,"31,458"
1180 IRONWOOD CO. LTD.,"286,288"
11996 HOLDINGS INC.,"144,265"
141187 VENTURES LTD.,"9,923,416"
153 MILE RANCH LTD.,"213,264"
1634459 ALBERTA LTD.,"586,263"
163904 CANADA INC.,"41,944"
1675 DOUGLAS (BC) PROPERTIES INC.,"1,159,520"
1741048 ALBERTA LTD.,"80,958"
1803 DOUGLAS HOLDINGS LTD.,"465,325"
1921564 ONTARIO INC.,"46,952"
20434 64TH AVENUE LANGLEY HOLDINGS INC.,"31,815"
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & GUINNESS TOWER HOLDINGS LTD.,"169,382"
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & OCEANIC PLAZA HOLDINGS LTD.,"1,517,116"
210 WEST BROADWAY PROPERTIES,"236,902"
221 WEST ESPLANADE CO. LTD.,"209,550"
283110 B.C. LTD.,"146,497"
3 NATIONS GENERAL STORE & LODGE,"31,002"
303627 B.C. LTD.,"1,393,967"
3244601 CANADA INC.,"70,212"
341234 B.C. LTD.,"1,065,052"
341567 B.C. LTD.,"235,314"
354875 B.C. LTD.,"339,684"
357689 B.C. LTD.,"2,551,229"
"360 SURVEILLANCE, INC.","312,324"
366016 B.C. LTD.,"334,679"
3752 INVESTMENTS LTD.,"204,428"
381881 B.C. LTD.,"168,132"
385242 B.C. LTD.,"123,721"
3GA MARINE LTD.,"412,467"
4 EVERGREEN RESOURCES LIMITED PARTNERSHIP,"84,842"
4000 SEYMOUR PLACE BUILDING LTD.,"7,214,977"
435862 B.C. LTD.,"38,637"
4370 DOMINION STREET HOLDINGS INC.,"183,979"
439772 B.C. LTD.,"147,437"
43K WILDERNESS SOLUTIONS INC.,"545,028"
442929 B.C. LTD.,"48,478"
4450 GREIG AVENUE HOLDINGS,"72,766"
450617 B.C. LTD.,"355,017"
455191 BRITISH COLUMBIA LTD.,"515,752"
458131 B.C. LTD.,"640,296"
459795 B.C. LTD.,"152,115"
461339 B.C. LTD.,"389,847"
465164 B.C. LTD.,"524,373"
478008 B.C. LTD.,"239,021"
486261 B.C. LTD.,"183,418"
49 NORTH HELICOPTERS LTD.,"218,436"
"4IMPRINT, INC.","87,101"
50TH PARALLEL ESTATE INC.,"30,028"
510929 B.C. LTD.,"166,446"
517568 B.C. LTD.,"1,302,305"
522828 B.C. LTD.,"100,800"
526761 B.C. LTD.,"253,694"
531616 B.C. LTD.,"195,854"
532364 B.C. LTD.,"777,107"
538726 BRITISH COLUMBIA LTD.,"29,167"
543251 B.C. LTD.,"64,802"
555577 B.C. LTD.,"38,140"
561655 B.C. LTD.,"119,372"
566487 B.C. LTD.,"209,764"
579985 B.C. LTD.,"162,653"
581947 B.C. LTD.,"176,266"
592091 B.C. LTD.,"501,562"
596961 B.C. LTD.,"2,073,693"
5L COMMERCIAL LTD.,"83,916"
600051 B.C. LTD.,"49,697"
616366 B.C. LTD.,"48,912"
6267441 CANADA INC.,"47,557"
627706 B.C. LTD.,"339,823"
644230 B.C. LTD.,"428,338"
645999 BC LTD.,"68,150"
647354 B.C. LTD.,"273,187"
650417 B.C. LTD.,"43,980"
653905 B.C. LTD.,"1,074,491"
6640 VEDDER ROAD HOLDINGS LTD.,"70,488"
672462 B.C. LTD.,"199,500"
673030 B.C. INCORPORATED,"31,008"
679692 BC LTD.,"65,975"
683489 B.C. LTD.,"94,170"
685637 B.C. LTD.,"82,399"
686149 B.C. LTD.,"417,895"
687495 B.C. LTD.,"249,263"
688667 B.C. LTD.,"171,606"
6893449 CANADA INC.,"39,375"
7U RANCH LTD.,"39,303"
8100 GRANVILLE HOLDINGS INC.,"389,246"
844 COURTNEY STREET HOLDINGS INC.,"223,365"
865 HORNBY STREET BUILDING LTD.,"5,790,405"
88 PROFESSIONAL CENTER LTD.,"296,387"
911 SUPPLY AND ADVENTURE GEAR INC.,"222,602"
9110 INVESTMENTS LTD.,"59,329"
947 FORT HOLDINGS LTD.,"1,792,148"
A & E VENTURES LTD.,"29,707"
A & G SUPPLY LTD.,"34,672"
A & H DRILLING LTD.,"58,373"
A & K TIMBER COMPANY LTD.,"44,048"
A + L SEPTIC (2014) LTD.,"69,565"
A EDUCATION LTD.,"30,300"
A K C CONTRACTING LTD.,"180,780"
A. E. FEATHERLING & SONS LOGGING LTD.,"134,718"
A. E. JAMES LTD.,"77,547"
A. G. APPEL ENTERPRISES LTD.,"176,802"
A. L. SIMS AND SON LTD.,"4,337,636"
A. MICHAEL ANDREWS AND ASSOCIATES LTD.,"164,665"
A. TOUTANT CONSULTING GROUP (1994) LTD.,"86,825"
A. WILLOCK INFORMATION SYSTEMS INCORPORATED,"662,508"
A. WOOD BULLDOZING LTD.,"90,243"
A.C.E. COURIER SERVICES,"154,050"
A.I. CONTRACTING LTD.,"1,148,948"
A.L. SOTT (NANAIMO) INC.,"75,341"
A.L. SOTT FINANCIAL (102ND) INC.,"770,776"
A.S. ROACH FIRE SERVICES LTD.,"512,810"
A.S.I. ACCOUNTING SERVICES INC.,"42,924"
"AASEN, DEAN","38,854"
ABBOTSFORD COMMUNITY SERVICES,"178,532"
"ABBOTT LABORATORIES, LIMITED","878,431"
ABC COMMUNICATIONS,"329,773"
ABC PRINTING,"52,680"
ABERDEEN HELICOPTERS LTD.,"289,876"
ABLE HEAVY EQUIPMENT CONTRACTING INCORPORATED,"36,518"
ABLETECH ASSISTIVE TECHNOLOGIES INC.,"164,903"
"ABLITT, LEN GRANT","25,580"
ABOVE AND BEYOND HOME CONCEPTS LTD.,"215,810"
"ABRAHAMSE, SANDRA JOYCE","42,080"
ABUNTL'AT CONTRACTING LTD.,"182,731"
AC AIRWAYS LTD.,"97,214"
AC/DC WELDING SERVICES LTD.,"25,452"
ACCESS HEALTH SERVICES LTD.,"112,081"
ACCESS HELICOPTERS LTD.,"121,236"
ACCESS RECORDS AND MEDIA MANAGEMENT LTD.,"665,561"
"ACCESSDATA, INC.","276,148"
ACCURATE REALTIME REPORTING,"35,676"
ACKLANDS – GRAINGER INC.,"695,197"
ACKO SYSTEMS CONSULTING INC.,"164,234"
ACL SERVICES LTD.,"56,989"
ACME SUPPLIES LTD.,"94,450"
ACME VISIBLE FILING SYSTEMS LTD.,"348,746"
ACRODEX INC.,"204,065"
ACROW LIMITED,"216,650"
ACTION FIRST AID INC.,"28,224"
