Name,Amount
0659299 B.C. LTD.,"258,211 "
0702755 B.C. LTD.,"74,322 "
0707249 B.C. LTD.,"114,391 "
0724848 B.C. LTD.,"26,434 "
0731010 B.C. LTD.,"37,714 "
0734121 B.C. LTD.,"725,126 "
0735677 B.C. LTD.,"93,152 "
0739959 B.C. LTD.,"175,655 "
0745248 B.C. LTD.,"105,476 "
0753296 B.C. LTD.,"109,626 "
0763325 B.C. LTD.,"31,866 "
0765777 B.C. LTD.,"700,013 "
0765891 B.C. LTD.,"50,422 "
0769276 B.C. LTD.,"159,415 "
0770506 B.C. LTD.,"294,203 "
0785350 B.C. LTD.,"316,661 "
0787308 B.C. LTD.,"92,989 "
0790812 B.C. LTD.,"230,255 "
0791082 B.C. LTD.,"89,623 "
0798001 B.C. LTD.,"42,890 "
0802214 B.C. LTD.,"149,881 "
0805653 B.C. LTD.,"151,888 "
0808240 B.C. LTD.,"62,596 "
0812597 B.C. LTD.,"85,104 "
0812652 B.C. LTD.,"1,524,445 "
0822001 B.C. LTD.,"616,576 "
0826953 B.C. LTD.,"118,936 "
0832958 B.C. LTD.,"107,903 "
0865482 B.C. LTD.,"206,575 "
0884865 B.C. LTD.,"48,504 "
0888879 B.C. LTD.,"201,402 "
0890101 B.C. LTD.,"115,180 "
0899919 B.C. LTD.,"276,692 "
0911217 B.C. LTD.,"96,143 "
0912895 B.C. LTD.,"58,104 "
0913605 B.C. LTD.,"56,374 "
0925621 B.C. LTD.,"29,378 "
0928541 B.C. LTD.,"43,943 "
0938541 B.C. LTD.,"169,120 "
0953441 B.C. LTD.,"191,714 "
0988936 B.C. LTD.,"125,338 "
0994943 B.C. LTD.,"215,282 "
0996501 B.C. LTD. & WILLINGDON DEVELOPMENTS (AQ/MIB/TWN) LIMITED PARTNERSHIP,"2,191,193 "
0997218 B.C. LTD.,"388,171 "
100 MILE HOUSE FIRST AID SERVICES CO,"56,971 "
1007592 B.C. LTD.,"89,659 "
1008698 B.C. LTD.,"240,999 "
1009030 B.C. LTD.,"37,816 "
101079362 SASKATCHEWAN LTD.,"59,962 "
1025411 B.C. LTD.,"793,169 "
1028074 B.C. LTD.,"694,286 "
1047070 B.C. LTD.,"80,645 "
1048508 B.C. LTD.,"570,862 "
1112 WEST PENDER HOLDINGS LTD.,"29,569 "
1180 IRONWOOD CO. LTD.,"276,907 "
11996 HOLDINGS INC.,"145,669 "
124876 CANADA INC.,"65,884 "
1325211 ALBERTA ULC,"238,976 "
141187 VENTURES LTD.,"9,691,015 "
1500 HARDY STREET LP,"120,821 "
1675 DOUGLAS (BC) PROPERTIES INC.,"264,044 "
1741048 ALBERTA LTD.,"85,984 "
1803 DOUGLAS HOLDINGS LTD.,"463,764 "
2021945 ONTARIO INC.,"28,350 "
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & GUINNESS TOWER HOLDINGS LTD.,"171,872 "
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & OCEANIC PLAZA HOLDINGS LTD.,"1,547,428 "
210 WEST BROADWAY PROPERTIES,"228,668 "
221 WEST ESPLANADE CO. LTD.,"230,923 "
22C PARTNERS INC.,"25,328 "
283110 B.C. LTD.,"137,144 "
303627 B.C. LTD.,"1,235,927 "
3070 KINGSWAY INC.,"27,098 "
310613 B.C. LTD.,"35,553 "
330333 BRITISH COLUMBIA LTD.,"71,315 "
341234 B.C. LTD.,"362,160 "
341567 B.C. LTD.,"225,889 "
354875 B.C. LTD.,"324,070 "
356501 B.C. LTD.,"59,896 "
357689 B.C. LTD.,"2,537,297 "
360 SURVEILLANCE INC.,"919,620 "
37 CONTRACTING LTD.,"165,038 "
372363 BRITISH COLUMBIA LTD.,"97,607 "
3752 INVESTMENTS LTD.,"185,460 "
381881 B.C. LTD.,"154,583 "
385242 B.C. LTD.,"124,517 "
389481 B.C. LTD. & MARMATH HOLDINGS LTD. & BANNISTER HOLDINGS LTD.,"63,311 "
3GA MARINE LTD.,"179,856 "
4000 SEYMOUR PLACE BUILDING LTD.,"7,198,747 "
4070194 CANADA INC.,"28,345 "
424116 B.C. LTD.,"25,830 "
430197 BRITISH COLUMBIA LTD.,"26,032 "
435862 B.C. LTD.,"27,405 "
4370 DOMINION STREET HOLDINGS INC.,"208,720 "
439772 B.C. LTD.,"148,036 "
43K WILDERNESS SOLUTIONS INC.,"186,903 "
4450 GREIG AVENUE HOLDINGS,"71,028 "
450617 B.C. LTD.,"310,836 "
455191 BRITISH COLUMBIA LTD.,"510,930 "
458131 B.C. LTD.,"785,386 "
459795 B.C. LTD.,"162,330 "
461339 B.C. LTD.,"398,067 "
468915 B.C. LTD.,"129,458 "
478008 B.C. LTD.,"241,409 "
486261 B.C. LTD.,"178,709 "
49 NORTH HELICOPTERS LTD.,"271,556 "
5000 JOYCE PROPERTY INC.,"123,966 "
510929 B.C. LTD.,"155,460 "
513251 B.C. LTD.,"81,440 "
517568 B.C. LTD.,"967,357 "
522828 B.C. LTD.,"97,694 "
526761 B.C. LTD.,"248,103 "
528248 B.C. LTD.,"60,570 "
538726 BRITISH COLUMBIA LTD.,"27,584 "
543251 B.C. LTD.,"62,791 "
561631 B.C. LTD.,"58,640 "
561655 B.C. LTD.,"99,812 "
566487 B.C. LTD.,"190,380 "
579985 B.C. LTD.,"165,084 "
593402 B.C. LTD.,"58,422 "
596961 B.C. LTD.,"2,029,445 "
6 POINT ENGINEERING AND AVALANCHE CONSULTING,"78,737 "
603212 B.C. LTD.,"44,755 "
611480 B.C. LTD.,"747,517 "
616366 B.C. LTD.,"81,616 "
642537 B.C. LTD.,"94,266 "
647354 B.C. LTD.,"261,045 "
650417 B.C. LTD.,"422,750 "
653905 B.C. LTD.,"1,191,880 "
657433 B.C. LTD.,"35,018 "
662144 B.C. LTD.,"26,381 "
6640 VEDDER ROAD HOLDINGS LTD.,"74,026 "
672462 B.C. LTD.,"15,268,635 "
680527 B.C. LTD.,"205,769 "
683489 B.C. LTD.,"96,806 "
685637 B.C. LTD.,"136,913 "
687495 B.C. LTD.,"275,758 "
688667 B.C. LTD.,"165,236 "
690114 B.C. LTD.,"50,621 "
6993567 CANADA INC.,"29,213 "
790585 ONTARIO INC.,"61,107 "
8–10 BASTION SQUARE INC.,"194,175 "
8100 GRANVILLE HOLDINGS INC.,"373,274 "
844 COURTNEY STREET HOLDINGS INC.,"238,837 "
865 HORNBY STREET BUILDING LTD.,"5,612,626 "
88 PROFESSIONAL CENTER LTD.,"304,666 "
947 FORT HOLDINGS LTD.,"1,709,438 "
960 QUAYSIDE DRIVE HOLDINGS LTD.,"298,520 "
A COMMUNITY VISION FOR CHILDREN AND FAMILIES LTD.,"123,960 "
A J PUMPS,"62,179 "
A. G. APPEL ENTERPRISES LTD.,"149,971 "
A. L. SIMS AND SON LTD.,"3,936,876 "
A. SANFORD & SON ENTERPRISES LTD.,"25,114 "
A. TOUTANT CONSULTING GROUP (1994) LTD.,"78,470 "
A. WILLOCK INFORMATION SYSTEMS INCORPORATED,"742,560 "
A.C.E. COURIER SERVICES,"197,188 "
A.L. SOTT (NANAIMO) INC.,"67,924 "
A.L. SOTT FINANCIAL (102ND) INC.,"755,608 "
A.S.I. ACCOUNTING SERVICES INC.,"26,472 "
AARDE ENVIRONMENTAL LTD.,"25,957 "
ABBOTSFORD COMMUNITY SERVICES,"180,748 "
